20185037747,1,BURGLARY OF VEHICLE,Theft,23-Sep-18,1000 TRINITY ST,30.270937905661697,-97.73796227537365,N,9-Oct-18,G,78701,11
20185036104,5,BURGLARY OF VEHICLE,Theft,12-Sep-18,9308 S 1ST ST,30.170265603198757,-97.8017310013084,N,17-Sep-18,F,78748,24.21
20185036459,10,THEFT,Theft,14-Sep-18,2453 WESTLAKE DR,30.305187007510465,-97.78244132181965,N,26-Sep-18,B,78746,19.13
20182170505,2,BURGLARY OF VEHICLE,Theft,5-Aug-18,4533 S IH 35 SVRD NB,30.20909603169836,-97.75427243618849,N,21-Aug-18,F,78744,24.11
20188004336,6,BURGLARY OF VEHICLE,Theft,30-Oct-18,13802 N US 183 HWY SVRD SB,30.462869359088877,-97.7953570767168,N,1-Nov-18,A,78750,204.03
20182821705,9,AGG ASSAULT,Agg Assault,9-Oct-18,201 E OLTORF ST,30.237779217149747,-97.75249914699997,C,15-Oct-18,D,78704,23.08
20182450860,6,AUTO THEFT,Auto Theft,2-Sep-18,12404 DEER FALLS DR,30.44436833455299,-97.77142763238955,N,5-Sep-18,A,78729,204.1
20185038689,10,BURGLARY OF VEHICLE,Theft,28-Sep-18,3600 N CAPITAL OF TEXAS HWY NB,30.334490242467872,-97.80667364991001,N,1-Oct-18,B,78746,19.13
20185040897,8,THEFT FROM PERSON,Theft,13-Oct-18,2100 BARTON SPRINGS RD,30.267764678632084,-97.76790447174712,N,15-Oct-18,D,78746,19.11
20183021688,7,THEFT,Theft,29-Oct-18,10107 RESEARCH BLVD SVRD NB,30.393778353586615,-97.74592808157627,C,1-Nov-18,A,78759,17.53
20183061154,7,BURGLARY OF VEHICLE,Theft,2-Nov-18,5106 N LAMAR BLVD,30.31915450363683,-97.7310540919278,N,14-Nov-18,B,78756,2.05
20182040974,7,BURGLARY OF VEHICLE,Theft,23-Jul-18,12100 METRIC BLVD,30.40362896916364,-97.7009783995247,N,24-Jul-18,A,78758,18.49
20185024557,3,THEFT,Theft,29-Jun-18,4000 PAYLOAD PASS,30.220026299826607,-97.75648247160153,N,29-Jun-18,D,78704,23.08
